TimeSeriesResponse{metaData=MetaData{information=Intraday (5min) open, high, low, close prices and volumesymbol=IBMlastRefreshed=2023-11-17 19:55:00timeZone=US/Easterninterval=5minoutputSize=Compact}, stockUnits=[
StockUnit{open=153.12, high=153.19, low=153.06, close=153.07, adjustedClose=0.0, volume=23761, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:00:00}, 
StockUnit{open=153.11, high=153.15, low=153.07, close=153.12, adjustedClose=0.0, volume=26109, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:55:00}, 
StockUnit{open=153.16, high=153.16, low=153.04, close=153.105, adjustedClose=0.0, volume=44464, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:50:00}, 
StockUnit{open=153.23, high=153.23, low=153.14, close=153.17, adjustedClose=0.0, volume=32286, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:45:00}, 
StockUnit{open=153.21, high=153.23, low=153.085, close=153.22, adjustedClose=0.0, volume=30187, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:40:00}, 
StockUnit{open=153.23, high=153.29, low=153.2, close=153.21, adjustedClose=0.0, volume=39061, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:35:00}, 
StockUnit{open=153.29, high=153.3, low=153.19, close=153.22, adjustedClose=0.0, volume=22888, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:30:00}, 
StockUnit{open=153.314, high=153.32, low=153.24, close=153.3, adjustedClose=0.0, volume=20715, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:25:00}, 
StockUnit{open=153.32, high=153.34, low=153.3, close=153.31, adjustedClose=0.0, volume=25588, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:20:00}, 
StockUnit{open=153.35, high=153.44, low=153.31, close=153.34, adjustedClose=0.0, volume=32065, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:15:00}, 
